,Planet Name,ID,FeatureName,FeatureType,Planetary Feature,Latitude of Center of Planetary Feature,Longitude of Center of Planetary Feature,Size of Planetary Feature(km)
2734,Mars,5579.0, Sisyphi Cavi , cavus ,CB,-72.2,353.7,423.63
2916,Mars,15703.0, Usiku Cavus , cavus ,CB,-11.2,263.7,42.0
2758,Mars,15040.0, Oxus Cavus , cavus ,CB,37.409111,359.482714,37.874
2085,Mars,2612.0, Hyperborei Cavi , cavus ,CB,79.914465,310.30269,92.8092
2915,Mars,15701.0, Noc Cavus , cavus ,CB,-13.4,263.3,29.7
2560,Mars,1088.0, Cavi Angusti , cavus ,CB,-78.163596,285.252681,640.037
5105,Triton,2952.0, Kasyapa Cavus , cavus ,CB,7.5,358.0,0.0
2399,Mars,339.0, Aram Chaos , chaos ,CH,2.523272,337.608425,283.811
2406,Mars,999.0, Candor Chaos , chaos ,CH,-6.936672,287.415027,0.0
15043,Europa,14303.0, Arran Chaos , chaos ,CH,13.4,279.5,26.0
15044,Europa,14305.0, Rathmore Chaos , chaos ,CH,25.4,285.0,57.0
15036,Europa,1282.0, Conamara Chaos , chaos ,CH,9.7,87.3,143.7
2490,Mars,3699.0, Margaritifer Chaos , chaos ,CH,-9.301547,338.29535,383.67
2492,Mars,4884.0, Pyrrhae Chaos , chaos ,CH,-10.460925,331.600649,162.353
2378,Mars,1711.0, Echus Chaos , chaos ,CH,10.78791,285.280977,480.512
15002,Europa,14304.0, Narberth Chaos , chaos ,CH,-26.0,87.0,20.0
2839,Mars,15761.0, Aeolis Chaos , chaos ,CH,-7.13,150.6,201.0
15063,Europa,4074.0, Murias Chaos , chaos ,CH,22.4,276.2,116.0
2788,Mars,15271.0, Hydrae Chaos , chaos ,CH,-5.902345,300.026183,66.0
2307,Mars,2065.0, Galaxias Chaos , chaos ,CH,33.827629,146.518319,234.483
2775,Mars,15253.0, Caralis Chaos , chaos ,CH,-37.200383,178.604819,103.352
2067,Mars,14386.0, Chryse Chaos , chaos ,CH,9.864575,322.810435,658.887
2057,Mars,14161.0, Xanthe Chaos , chaos ,CH,11.873953,317.783142,34.3662
2251,Mars,4533.0, Oxia Chaos , chaos ,CH,0.220491,320.132363,24.1169
2244,Mars,2605.0, Hydraotes Chaos , chaos ,CH,1.117948,324.708531,419.044
2383,Mars,2748.0, Ister Chaos , chaos ,CH,12.953593,303.437097,109.102
2431,Mars,473.0, Aureum Chaos , chaos ,CH,-3.894723,333.036615,351.026
2385,Mars,4281.0, Nilus Chaos , chaos ,CH,25.387149,283.045267,283.0
2230,Mars,2603.0, Hydaspis Chaos , chaos ,CH,3.087477,333.071045,336.041
2923,Mars,15536.0, Nia Chaos , chaos ,CH,-6.741461,292.62369,48.0
2443,Mars,1809.0, Eos Chaos , chaos ,CH,-16.818314,313.477956,497.849
2488,Mars,2629.0, Iani Chaos , chaos ,CH,-2.192055,342.958002,450.508
2467,Mars,14149.0, Baetis Chaos , chaos ,CH,-0.167068,299.60083,66.6615
2486,Mars,2224.0, Gorgonum Chaos , chaos ,CH,-37.262113,189.097735,150.708
2507,Mars,457.0, Atlantis Chaos , chaos ,CH,-34.275726,182.690958,181.368
2572,Mars,2430.0, Hellas Chaos , chaos ,CH,-47.121205,64.408084,590.623
2452,Mars,14169.0, Ganges Chaos , chaos ,CH,-9.761069,313.95987,113.734
2494,Mars,14325.0, Erythraeum Chaos , chaos ,CH,-21.844722,347.622375,147.626
2478,Mars,2625.0, Iamuna Chaos , chaos ,CH,-0.282467,319.389649,21.7185
2433,Mars,390.0, Aromatum Chaos , chaos ,CH,-1.030227,317.030347,72.798
2477,Mars,396.0, Arsinoes Chaos , chaos ,CH,-7.657446,332.084019,200.084
2479,Mars,475.0, Aurorae Chaos , chaos ,CH,-8.469343,325.185059,713.916
